Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
23/092,2023-08-17,3,9,15,18,21,37,42,37,5,1,5,1,2,2,1,1,0,0,0.00,2,775710.00,80.5,51390.00,145,9600.00,3707.8,640.00,3773,320.00,65219.7,40.00,35086943
23/091,2023-08-15,4,12,17,37,38,39,41,"12,17",3,3,3,3,1,2,0,3,0,2,13292970.00,2.5,1130950.00,95.5,78940.00,193,9600.00,4819.6,640.00,5236.6,320.00,86193.3,40.00,56989344
23/090,2023-08-12,3,12,13,17,24,36,16,"3,13",5,1,3,3,1,3,1,1,0,0,0.00,2,952280.00,72,70530.00,217.4,9600.00,4736.6,640.00,5650.9,320.00,83987.6,40.00,44887425
23/089,2023-08-10,2,3,4,13,18,42,12,"4,18",5,1,2,4,3,2,0,0,1,0,0.00,1,1463350.00,118,33070.00,295.5,9600.00,4567.1,640.00,8026.8,320.00,78380.1,40.00,41081607
23/088,2023-08-08,4,7,18,28,30,40,29,,3,3,1,5,2,1,2,1,0,0,0.00,2,677810.00,74,48850.00,264.5,9600.00,4635.7,640.00,6129.9,320.00,77018,40.00,37925396
23/087,2023-08-05,2,8,24,39,41,44,40,44,3,3,2,4,2,0,1,1,2,1,29063330.00,1.5,1815990.00,65,111750.00,164.5,9600.00,3708.4,640.00,5234.8,320.00,73459,40.00,52818584
23/086,2023-08-03,3,14,23,30,33,44,21,,3,3,3,3,1,1,2,1,1,0,0.00,2,1030020.00,87,63140.00,208.5,9600.00,5369.7,640.00,5872.6,320.00,86590.7,40.00,47912933
23/085,2023-08-01,2,7,25,28,31,35,11,,2,4,4,2,2,0,2,2,0,0,0.00,3.5,503010.00,63,74520.00,321,9600.00,4013.7,640.00,8556.2,320.00,76441.1,40.00,45080955
23/084,2023-07-29,13,23,26,40,41,43,14,"13,43",2,4,4,2,0,1,2,1,2,0,0.00,2,904930.00,42.5,113560.00,103.5,9600.00,2461.9,640.00,3402,320.00,47414.7,40.00,34839965
23/083,2023-07-27,13,15,17,18,20,43,39,13,5,1,4,2,0,5,0,0,1,0.5,2000000.00,1,1786270.00,48.5,98210.00,93.5,9600.00,2774.2,640.00,2881.6,320.00,49272.6,40.00,34541356
23/082,2023-07-25,1,2,10,13,29,47,9,,4,2,4,2,3,1,1,0,1,2.5,21616130.00,7.5,712900.00,310.5,45910.00,850,9600.00,13274.2,640.00,22942.7,320.00,225600.1,40.00,133688280
